,forcing,trend,trend_min,trend_max,obs_name,domain,sf_best,sf_min,sf_max
0,Observation,4.090825587260406,3.1423536298544024,5.094708472417013,era5,EU,1.152063968818057,0.8849539822753246,1.434778857593495
1,Forcing no 1 only,3.262672026681415,2.416988043397246,4.075980949710304,era5,EU,0.9532750188867006,0.7061863110592758,1.1909045055837375
2,Forcing no 2 only,0.1464936669206877,-0.4938449143249187,0.7885159960281253,era5,EU,0.6495578965736714,-2.1897251295932905,3.4963067179690617
3,Forcing no 3 only,0.6816598936583035,0.19075861391519913,1.1758474068962943,era5,EU,0.9275653750482287,0.2595738533337087,1.6000286229601366
4,Observation,3.7372538725826394,2.9278596973332114,4.538412036801783,era5,EAS,1.3741353136443284,1.0765325398462335,1.6687098228433
5,Forcing no 1 only,2.7540651989103364,1.9853911334150165,3.490383966779556,era5,EAS,0.7936603033441393,0.5721455431869851,1.0058509867369232
6,Forcing no 2 only,0.30588643899816215,0.029496364383840786,0.5815489252088193,era5,EAS,0.8568221186936787,0.08262261481057379,1.6289835661019483
7,Forcing no 3 only,0.6773022346741411,0.23069941254358917,1.1268227145943215,era5,EAS,0.8793770129209435,0.2995291465158123,1.4630130274531858
8,Observation,2.7666948069195625,1.9658611057414859,3.587794720688393,era5,WNA,2.549984501554176,1.8118786861895777,3.306769112961755
9,Forcing no 1 only,2.5780043631649106,1.7455574079033618,3.3986622472454964,era5,WNA,0.7491000303975411,0.5072129147662799,0.9875615530755087
10,Forcing no 2 only,0.24007760527118166,-0.13607768803550255,0.6130821255938285,era5,WNA,0.6539843605333973,-0.3706829701680789,1.6700688154900738
11,Forcing no 3 only,-0.05138716151652882,-0.34019198509104037,0.24299306642518723,era5,WNA,-1.020536557766261,-6.756130270647673,4.825783332882951
12,Observation,4.151438577691606,3.1673616329885785,5.15472246509215,jra55,EU,1.1122866128428857,0.8486248505125029,1.3810944528126892
13,Forcing no 1 only,3.295704755999338,2.4955604174549597,4.120586092009881,jra55,EU,0.9629263952453753,0.7291432864313987,1.2039370652527286
14,Forcing no 2 only,0.1629998055165506,-0.5001530456355195,0.8072856684300417,jra55,EU,0.7227466759404065,-2.217695598157251,3.5795320831404207
15,Forcing no 3 only,0.6927340161757173,0.2024216718455783,1.1985376410358892,jra55,EU,0.9426344332424372,0.2754443025181876,1.630904248378955
16,Observation,3.7185631406492403,2.946205921947673,4.526637962586764,jra55,EAS,1.4530956473980334,1.15128312727077,1.768865465501578
17,Forcing no 1 only,2.7455109812773397,1.9614896243898343,3.5293347320758417,jra55,EAS,0.7911951681817031,0.5652576601728814,1.0170757305130573
18,Forcing no 2 only,0.30401882205553427,0.025766974947345898,0.5942370149429648,jra55,EAS,0.8515907148075449,0.07217617799278934,1.6645243241812935
19,Forcing no 3 only,0.6690333373163666,0.2237673968729859,1.1076800261313924,jra55,EAS,0.8686410698125792,0.29052894701570425,1.438159071068551
20,Observation,3.318085810027127,2.4688502723250845,4.1404062732345,jra55,WNA,1.2941875644030394,0.962951383342934,1.6149257786532696
21,Forcing no 1 only,3.0048161162541516,2.187592327639815,3.836754684233451,jra55,WNA,0.8731202616203717,0.6356565964537845,1.114859653324541
22,Forcing no 2 only,0.3096121971244836,-0.07231967026995545,0.6806021463703952,jra55,WNA,0.8434003434892682,-0.1970026869522438,1.8539969980495703
23,Forcing no 3 only,0.003657496648491433,-0.2862381835240184,0.30226757461457193,jra55,WNA,0.07263699588646241,-5.684620864316644,6.00296068157588
24,Observation,4.049434532441724,3.0725536251293084,5.005603531471123,ncep2,EU,1.1534219290671497,0.8751717557270848,1.4257726196485552
25,Forcing no 1 only,3.2358180669829437,2.41597719961493,4.074107509482716,ncep2,EU,0.9454289317748492,0.7058909665938197,1.190357130992074
26,Forcing no 2 only,0.1378798313364714,-0.5092223374842828,0.7597697887411649,ncep2,EU,0.6113638569190818,-2.2579091463639784,3.3688450581425107
27,Forcing no 3 only,0.6757366341223082,0.1751365746304514,1.1613449865871845,ncep2,EU,0.919505328529242,0.23831623958382475,1.5802945252696694
28,Observation,3.4008329227424605,2.5968945349203114,4.202582590993653,ncep2,EAS,1.7917819844467078,1.3682144783008192,2.214196329474324
29,Forcing no 1 only,2.4893875929323097,1.724470022323266,3.256207377757854,ncep2,EAS,0.7173861072459371,0.4969538853206782,0.9383665049778875
30,Forcing no 2 only,0.2855529617795143,-0.0051062674457938405,0.5654302223414338,ncep2,EAS,0.7998657753920517,-0.014303226079100307,1.5838332770382673
31,Forcing no 3 only,0.625892368030636,0.17689080675647753,1.050782142716432,ncep2,EAS,0.812628886827162,0.22966661158814272,1.3642855649770729
32,Observation,3.113385373457993,2.2724683676132127,3.9581003007335718,ncep2,WNA,1.4864671983487212,1.0849764107391124,1.8897712807970983
33,Forcing no 1 only,2.8345280986346,2.002908080269328,3.651472690527883,ncep2,WNA,0.8236390578653325,0.5819922282719806,1.0610215958332165
34,Forcing no 2 only,0.2865732737099127,-0.10019970656676246,0.6632649714524635,ncep2,WNA,0.7806410720460325,-0.27294941129839795,1.8067695973957194
35,Forcing no 3 only,-0.007715998886519338,-0.30881113937035043,0.2749954983248781,ncep2,WNA,-0.15323786547042312,-6.132914289720492,5.461343864486835
