,sf_best,sf_min,sf_max,trend,trend_min,trend_max,forcing,obs_name,domain
0,0.7095141237541511,0.3162733572791743,1.102754890229128,3.341844446151398,1.4896621886773003,5.194026703625497,ANT,era5,EU
1,1.131092566689247,-1.6203120729853564,3.8824972063638503,0.25509334671331674,-0.3654261742941714,0.8756128677208048,NAT,era5,EU
2,,,,3.596937792864715,1.124236014383129,6.069639571346301,ALL,era5,EU
3,0.462910153719698,0.19149631845205778,0.7343239889873383,2.2289258326273496,0.9220603342161303,3.5357913310385696,ANT,era5,EAS
4,0.6677370427402117,-1.1284784122201796,2.4639524977006033,0.2383828588626675,-0.40286803464715165,0.8796337523724868,NAT,era5,EAS
5,,,,2.467308691490017,0.5191922995689786,4.415425083411057,ALL,era5,EAS
6,0.21698798786366666,-0.05907783635351446,0.49305381208084775,0.9629245474272744,-0.2621688849865406,2.1880179798410895,ANT,era5,WNA
7,0.28644175144528106,-1.490492198868123,2.063375701758685,0.10515274353132532,-0.5471595643170786,0.7574650513797292,NAT,era5,WNA
8,,,,1.0680772909585998,-0.8093284493036192,2.9454830312208187,ALL,era5,WNA
9,0.745073481869208,0.35183271539423117,1.1383142483441848,3.5093306729184466,1.6571484154443485,5.361512930392545,ANT,jra55,EU
10,1.3580601735590088,-1.3933444661155947,4.109464813233612,0.3062809578222726,-0.3142385631852156,0.9268004788297607,NAT,jra55,EU
11,,,,3.8156116307407193,1.342909852259133,6.288313409222305,ALL,jra55,EU
12,0.4668004338135512,0.19538659854591095,0.7382142690811915,2.2476576442492564,0.940792145838037,3.554523142660476,ANT,jra55,EAS
13,0.1664110591577494,-1.629804395802642,1.962626514118141,0.059408931194824446,-0.5818419623149947,0.7006598247046437,NAT,jra55,EAS
14,,,,2.3070665754440807,0.3589501835230423,4.25518296736512,ALL,jra55,EAS
15,0.4586572691884314,0.1825914449712503,0.7347230934056126,2.0353769243438014,0.8102834919299862,3.2604703567576165,ANT,jra55,WNA
16,1.0747528225663099,-0.7021811277470942,2.851686772879714,0.3945416732744426,-0.25777063457396127,1.0468539811228466,NAT,jra55,WNA
17,,,,2.429918597618244,0.552512857356025,4.307324337880463,ALL,jra55,WNA
18,0.6909841390252374,0.29774337255026057,1.0842249055002142,3.2545673582395476,1.4023851007654495,5.106749615713646,ANT,ncep2,EU
19,1.6938136586237482,-1.0575909810508552,4.445218298298352,0.3820028595464794,-0.23851666146100875,1.0025223805539676,NAT,ncep2,EU
20,,,,3.636570217786027,1.1638684393044407,6.109271996267614,ALL,ncep2,EU
21,0.30437522996123134,0.032961394693591106,0.5757890652288715,1.4655755710281575,0.15871007261693812,2.7724410694393766,ANT,ncep2,EAS
22,0.4126776261287244,-1.383537828831667,2.2088930810891156,0.14732636653123052,-0.4939245269785887,0.7885772600410497,NAT,ncep2,EAS
23,,,,1.612901937559388,-0.33521445436165054,3.5610183294804263,ALL,ncep2,EAS
24,0.3818527224337399,0.10578689821655879,0.657918546650921,1.6945424654769567,0.4694490330631416,2.9196358978907715,ANT,ncep2,WNA
25,1.2798839084658533,-0.49705004184755075,3.056817858779257,0.4698452781332388,-0.18246702971516507,1.1221575859816426,NAT,ncep2,WNA
26,,,,2.1643877436101957,0.2869820033479765,4.041793483872414,ALL,ncep2,WNA
