,MIROC6_r1i1p1f1,MIROC6_r2i1p1f1,MIROC6_r3i1p1f1
1,0.05844564593699033,-4.096468669750538,3.495246689087253
2,-3.747965122761707,6.4513252427082985,-4.1117728979268575
3,-1.4358615861021462,-4.061076063404471,2.2494843399616
4,-1.877246418885079,4.7708917466394265,-3.89939236778464
5,-4.6204305963545265,3.059077915828675,-4.588190041968301
6,8.32290238247315,-3.299155227708252,-1.3514334274652355
7,2.7501297464115546,-2.353829120252916,6.838381421738632
